Experiment Name:,151120_CGI002b_phopho_exported_populations
Primary Researcher:,Adeeb Rahman
Compensation used:,File-internal Compensation
Exported at:,December 16 2015 - 02:30 pm
Link to experiment:,https://mtsinai.cytobank.org/cytobank/experiments/15066

FCS Filename,Conditions,Individuals,SampleType,Ungated_EventCounts,Medians_Ungated_Sm147Di--(pSTAT5),Medians_Ungated_Eu153Di--(pSTAT1),Medians_Ungated_Gd156Di--(pp38),Medians_Ungated_Gd158Di--(pSTAT3),Medians_Ungated_Tb159Di--(pMAPKAP2),Medians_Ungated_Dy162Di--(pPLCg2),Medians_Ungated_Dy164Di--(IkBa),Medians_Ungated_Ho165Di--(pCREB),Medians_Ungated_Er167Di--(pERK1_2),Medians_Ungated_Lu175Di--(pS6)
151120_CGI002b_CV7101_auto_live_B cells.fcs,auto,CV7101,B cells,2647,1.1476458311080933,0.0,9.71157169342041,1.3923945426940918,28.880966186523438,14.367785453796387,1.891037106513977,75.43685913085938,0.0,9.698596000671387
151120_CGI002b_CV7101_auto_live_Basophils.fcs,auto,CV7101,Basophils,119,2.512105703353882,1.5027168989181519,7.9564361572265625,1.0792428255081177,1.856757402420044,0.0,2.3909523487091064,136.19253540039062,0.8775935769081116,10.157842636108398
151120_CGI002b_CV7101_auto_live_CD14 monocytes.fcs,auto,CV7101,CD14 monocytes,7825,4.8653340339660645,2.433051824569702,31.88027000427246,4.821239948272705,44.96061706542969,31.99855613708496,11.722265243530273,259.6999206542969,1.9840091466903687,13.119235038757324
151120_CGI002b_CV7101_auto_live_CD16 monocytes.fcs,auto,CV7101,CD16 monocytes,1461,5.684753894805908,4.73129415512085,17.212343215942383,4.595295429229736,34.598777770996094,71.53275299072266,8.360763549804688,156.05868530273438,0.27779141068458557,6.6938252449035645
151120_CGI002b_CV7101_auto_live_CD1c DCs.fcs,auto,CV7101,CD1c DCs,642,3.077191114425659,1.6397053599357605,28.63562297821045,2.604368567466736,53.450300216674805,37.062082290649414,37.2841911315918,307.7947998046875,1.9994077682495117,82.02018356323242
151120_CGI002b_CV7101_auto_live_CD4 T cells.fcs,auto,CV7101,CD4 T cells,25873,0.5918498635292053,0.0,8.209354400634766,0.38186368346214294,18.76103973388672,15.217535018920898,10.76132583618164,78.91354370117188,2.29052472114563,2.0712881088256836
151120_CGI002b_CV7101_auto_live_CD8 T cells.fcs,auto,CV7101,CD8 T cells,32059,0.38541096448898315,0.0,7.692355632781982,0.0,21.16554069519043,16.237913131713867,8.806295394897461,101.06989288330078,1.9514635801315308,3.2163479328155518
151120_CGI002b_CV7101_auto_live_NK cells.fcs,auto,CV7101,NK cells,15202,1.3196154832839966,0.0,7.403305530548096,0.29601769149303436,24.67978858947754,38.183231353759766,7.1504600048065186,118.43696212768555,0.0,2.080464482307434
151120_CGI002b_CV7101_auto_live_NKT cells.fcs,auto,CV7101,NKT cells,24636,0.8132031857967377,0.0,6.369252681732178,0.581587165594101,19.174429893493652,24.510077476501465,7.088886260986328,74.03020858764648,2.3124383687973022,1.5104990601539612
151120_CGI002b_CV7101_auto_live_Total.fcs,auto,CV7101,Total,111973,0.9334204792976379,0.0,8.294419288635254,0.5468738079071045,21.95421600341797,20.57999038696289,8.429285049438477,95.54773712158203,1.7097595930099487,2.744288444519043
